"# PbTaSe2 flake BCAD, thickness 56 nm,roughness 4.7 nm."		 
#eV	#eps_1	#eps_2
0.729411765	-16.052947	12.951761
0.730970452	-16.657794	12.695596
0.732535815	-17.032236	12.459898
0.734107896	-17.111078	12.244449
0.73568674	-16.849215	12.006466
0.737272389	-16.531887	11.823908
0.738864889	-16.527592	11.86217
0.740464283	-16.923568	12.320915
0.742070616	-17.282894	12.740118
0.743683934	-17.226792	12.779508
0.745304282	-16.955566	12.78375
0.746931707	-16.780708	12.785291
0.748566254	-16.973389	12.595552
0.750207971	-17.347763	12.228397
0.751856905	-17.492129	12.080935
0.753513103	-17.19882	12.179477
0.755176614	-16.792947	12.309279
0.756847486	-16.642527	12.340935
0.758525768	-16.608784	12.336564
0.76021151	-16.576816	12.328296
0.761904762	-16.477688	12.308254
0.763605573	-16.272071	12.257344
0.765313995	-16.128073	12.201054
0.767030078	-16.107594	12.146486
0.768753875	-16.096048	12.091393
0.770485437	-16.093316	12.07267
0.772224817	-16.146293	12.25163
0.773972068	-16.24437	12.509238
0.775727244	-16.339185	12.578187
0.777490399	-16.456033	12.515994
0.779261587	-16.546366	12.449847
0.781040863	-16.492633	12.523132
0.782828283	-16.203753	12.888778
0.784623903	-15.979551	13.172559
0.786427779	-16.046667	13.049243
0.788239968	-16.231577	12.720313
0.790060529	-16.32832	12.548471
0.791889519	-16.30841	12.649367
0.793726996	-16.26657	12.809291
0.795573021	-16.220726	12.858137
0.797427653	-16.157836	12.78369
0.799290952	-16.097027	12.697886
0.801162979	-16.067567	12.683395
0.803043795	-16.054207	12.68703
0.804933463	-16.037856	12.693384
0.806832046	-15.976025	12.707685
0.808739605	-15.855395	12.739369
0.810656207	-15.78596	12.77933
0.812581913	-15.818691	12.837323
0.814516791	-15.879027	12.907927
0.816460905	-15.897906	12.95401
0.818414322	-15.788771	12.973105
0.820377109	-15.652108	12.991209
0.822349333	-15.642426	13.06654
0.824331062	-15.770427	13.363547
0.826322366	-15.88762	13.623063
0.828323313	-15.808093	13.599468
0.830333975	-15.515446	13.452905
0.832354422	-15.318377	13.35421
0.834384725	-15.425192	13.388418
0.836424958	-15.692057	13.464005
0.838475192	-15.943608	13.505935
0.840535502	-16.196934	13.513462
0.842605963	-16.410323	13.518978
0.844686649	-16.418466	13.543956
0.846777636	-16.090075	13.667162
0.848879001	-15.764559	13.795505
0.850990821	-15.740609	13.83587
0.853113175	-15.787833	13.856559
0.855246142	-15.822663	13.86808
0.857389801	-15.746237	13.872939
0.859544234	-15.550342	13.875984
0.861709521	-15.403503	13.87834
0.863885744	-15.324783	13.879902
0.866072988	-15.268514	13.881369
0.868271335	-15.262352	13.888802
0.87048087	-15.345909	13.942712
0.87270168	-15.455212	13.999108
0.874933851	-15.518371	13.984863
0.877177469	-15.561645	13.883556
0.879432624	-15.601157	13.80221
0.881699404	-15.649523	13.880967
0.883977901	-15.700908	14.100424
0.886268203	-15.72419	14.222862
0.888570405	-15.597383	14.130812
0.890884598	-15.386514	13.966208
0.893210877	-15.314787	13.876532
0.895549336	-15.327093	13.850125
0.897900072	-15.35206	13.826009
0.900263182	-15.40594	13.73232
0.902638763	-15.56249	13.412411
0.905026914	-15.691102	13.145318
0.907427735	-15.630322	13.233766
0.909841328	-15.39737	13.585388
0.912267795	-15.1841	13.888564
0.914707238	-15.076587	14.045812
0.917159763	-14.990185	14.166149
0.919625475	-14.88256	14.196247
0.92210448	-14.698682	14.035831
0.924596887	-14.530322	13.830425
0.927102804	-14.528287	13.790868
0.929622341	-14.783149	13.854125
0.93215561	-15.027042	13.91466
0.934702723	-15.021615	13.906986
0.937263794	-14.905006	13.842584
0.939838939	-14.781636	13.742598
0.942428273	-14.683592	13.46853
0.945031914	-14.592576	13.040634
0.947649981	-14.561369	12.86395
0.950282594	-14.657504	13.097894
0.952929875	-14.791758	13.447047
0.955591947	-14.79239	13.606132
0.958268934	-14.432228	13.673955
0.960960961	-14.05198	13.711782
0.963668156	-13.987989	13.607857
0.966390648	-13.980775	13.142214
0.969128566	-13.970739	12.737181
0.971882042	-13.906428	12.632422
0.974651208	-13.761267	12.572582
0.977436201	-13.616832	12.510958
0.980237154	-13.466387	12.417379
0.983054207	-13.330804	12.330653
0.985887498	-13.297924	12.330014
0.988737167	-13.360869	12.652552
0.991603359	-13.431484	13.014393
0.994486216	-13.409844	12.992672
0.997385884	-13.22192	12.583851
1.000302511	-12.987642	12.230584
1.003236246	-12.795721	12.183036
1.00618724	-12.602176	12.166937
1.009155646	-12.412152	12.145791
1.012141618	-12.214899	12.089247
1.015145313	-12.024887	12.018441
1.018166889	-11.889528	11.988088
1.021206506	-11.808578	11.983556
1.024264326	-11.736441	11.979997
1.027340514	-11.629646	11.959442
1.030435234	-11.47521	11.874804
1.033548656	-11.311071	11.802059
1.036680949	-11.169471	11.798933
1.039832285	-11.037226	11.805629
1.043002839	-10.898357	11.809995
1.046192786	-10.742875	11.797301
1.049402306	-10.576737	11.763676
1.052631579	-10.406061	11.723099
1.055880788	-10.186163	11.674381
1.059150117	-9.997231	11.605996
1.062439756	-9.969707	11.48776
1.065749893	-10.066217	11.208272
1.06908072	-10.15939	10.972143
1.072432432	-10.044341	10.984049
1.075805227	-9.567981	11.11106
1.079199304	-9.144175	11.202008
1.082614864	-8.997504	11.189624
1.086052113	-8.902964	11.150794
1.089511258	-8.789129	11.109455
1.092992508	-8.634139	11.058784
1.096496076	-8.451036	11.011338
1.100022178	-8.233856	11.010291
1.103571031	-7.938584	11.12098
1.107142857	-7.649775	11.236646
1.110737879	-7.46126	11.245414
1.114356324	-7.326117	11.210236
